ආගම,අගම
ජනතාව,ජනටව
සිංහල,සිඟල
අධ්‍යාපන,අද්‍යාපන
විද්‍යා,විදා
සාහිත්‍ය,සාහිට්‍ය
පරිසර,පරිසාර
පුරවැසි,පුරාවැසි
අමාත්‍යාංශ,අමාතාංශ
දේශපාලන,දේශපාලම
අධිකරණ,අදිකරණ
මහජන,මහාජන
පාර්ලිමේන්තු,පාර්ලිමෙන්තු
සංස්කෘතික,සංස්කෘති
කාර්යාල,කාර්යාලය
රාජ්‍ය,රාජ
සැලසුම්,සැලැසුම්
පරිපාලන,පරිපාලා
අන්තර්ජාල,අන්තර්ජාය
සමාජ,සාමාජ
තොරතුරු,තොරුතුරු
වෘත්තීය,වෘත්තීම
ආරක්ෂක,අරක්ෂක
සන්නිවේදන,සන්නිවේදම
කෘෂිකර්ම,කෘෂි
අධිනි,අධිනි
රෝහල,රෝහල්
සෞඛ්‍ය,සෞඛ
පවුල,පවුල්
දරුවා,දරුවතා
මව්පිය,මව්පිවරුන්
සිදුවීම,සිදුවීමක්
සංවර්ධන,සංවර්ද
පරිසරය,පරිසාරය
පුරවැසි,පුරාවැසි
අධිකරණ,අදිකරණ
මුදල්,මුදල
ආදායම,ආදායම්
වැටුප,වැටුප්
රැකියා,රාකියා
වෘත්තීය,වෘත්තිය
නිදහස,නිදහාස
සමානාත්මක,සමානත්මක
සාමය,සාම
සමෘද්ධි,සමෘද්ධ
නීතිය,නීති
යුක්තිය,යුක්ති
සාධාරණත්වය,සාධාරණත්ම
සමාජ,සමාජය
සංස්කෘතිය,සංස්කෘති
අධ්‍යාපනය,අද්‍යාපනය
පර්යේෂණ,පර්යේෂා
විද්‍යාව,විදාව
තාක්ෂණ,තාක්ෂා
සෞඛ්‍යය,සෞඛය
වාසුදේව,වාසුදේවා
කුඩා,කුඩාර
ලොකු,ලොකුක
විශාල,විශාලක
කුඩාම,කුඩාම්
පොඩි,පොඩිය
මෙරට,මේරට
සිංහල,සිඟල
දෙමළ,දෙමල
මුස්ලිම්,මුස්ලිම
ක්‍රිස්තියානි,ක්‍රිස්තයානි
හින්දු,හිංදු
බෞද්ධ,බෞද්ධා
ක්‍රිස්තු,ක්‍රිස්ටු
පින්තූර,පින්තුරක්
ඡායාරූප,ඡයාරූප
සිදුරු,සිදුරුව
විවර,විවරක්
එළිය,එළිම
වැදුම,වැදුනු
සිදුවීම,සිදුවීම්
සිදුවුණු,සිදුවුනු
සිදුකරන,සිදුකරම
සිදුකළ,සිදුකල
සිදුවෙන,සිදුවෙම
සිදුකරමින්,සිදුකරමි
සිදුවුවා,සිදුවුවාය
සිදුවෙයි,සිදුවෙය
සිදුකරයි,සිදුකරය
සිදුවෙන්නේ,සිදුවෙන්නෙ
සිදුකරන්නේ,සිදුකරන්නෙ
පොරොන්දු,පොරොදු
පොරොන්දුව,පොරොදුව
සිහිනය,සිහිනා
සිහිනවලින්,සිහිනවලි
සිහින,සිහිනක්
සිහියේ,සිහිය
සිහිය,සිහිම
සමඟ,සමඟක
සමඟම,සමඟාම
සමඟින්,සමඟි
සටන,සටනක්
සටන්,සටම්
සටනකදී,සටනකදෙම
සටනෙහි,සටනෙහි
සටන්කරමින්,සටන්කරමි
සටන්කරයි,සටන්කරය
සටන්වදින්,සටන්වදි
කතාව,කතව
කතාවක්,කතාවා
කතාවේ,කතවෙ
කතාකරන,කතකරම
කතාකරයි,කතකරය
කතාකරමින්,කතකරමි
කතාකරන්නේ,කතාකරන්නෙ
කතාකළ,කතකල
සටහන,සටහනක්
සටහනේ,සටහනෙ
සටහනක,සටහනැක
සටහන්,සටහම්
සටහන්කරන,සටහන්කරම
සටහන්කරයි,සටහන්කරය
සටහන්කරමින්,සටහන්කරමි
සටහන්කරන්නේ,සටහන්කරන්නෙ
